Car_Name,Year,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price_USD,Present_Price_USD
ritz,2014,27000,Petrol,Dealer,Manual,1,4036.144578,6734.939759
sx4,2013,43000,Diesel,Dealer,Manual,1,5722.891566,11493.9759
ciaz,2017,6900,Petrol,Dealer,Manual,1,8734.939759,11867.46988
wagon r,2011,5200,Petrol,Dealer,Manual,1,3433.73494,5000
swift,2014,42450,Diesel,Dealer,Manual,1,5542.168675,8277.108434
vitara brezza,2018,2071,Diesel,Dealer,Manual,1,11144.57831,11843.37349
ciaz,2015,18796,Petrol,Dealer,Manual,1,8132.53012,9783.13253
s cross,2015,33429,Diesel,Dealer,Manual,1,7831.325301,10373.49398
ciaz,2016,20273,Diesel,Dealer,Manual,1,10542.16867,10710.84337
ciaz,2015,42367,Diesel,Dealer,Manual,1,8975.903614,10746.98795
alto 800,2017,2135,Petrol,Dealer,Manual,1,3433.73494,4337.349398
ciaz,2015,51000,Diesel,Dealer,Manual,1,8253.012048,12506.0241
ciaz,2015,15000,Petrol,Dealer,Automatic,1,9036.144578,11975.90361
ertiga,2015,26000,Petrol,Dealer,Manual,1,7349.39759,9289.156627
dzire,2009,77427,Petrol,Dealer,Manual,1,2710.843373,8686.746988
ertiga,2016,43000,Diesel,Dealer,Manual,1,9337.349398,13000
ertiga,2015,41678,Diesel,Dealer,Manual,1,8734.939759,13000
ertiga,2016,43000,Diesel,Dealer,Manual,1,9337.349398,13000
wagon r,2015,35500,CNG,Dealer,Manual,1,3915.662651,6132.53012
sx4,2010,41442,Petrol,Dealer,Manual,1,3192.771084,9614.457831
alto k10,2016,25000,Petrol,Dealer,Manual,1,3433.73494,4759.036145
ignis,2017,2400,Petrol,Dealer,Manual,1,5903.614458,6879.518072
sx4,2011,50000,Petrol,Dealer,Automatic,1,5301.204819,9650.60241
alto k10,2014,45280,Petrol,Dealer,Manual,1,3012.048193,4168.674699
wagon r,2013,56879,Petrol,Dealer,Manual,1,3493.975904,5313.253012
swift,2011,20000,Petrol,Dealer,Manual,1,3614.457831,6012.048193
swift,2013,55138,Petrol,Dealer,Manual,1,5000,7072.289157
swift,2017,16200,Petrol,Individual,Manual,1,7228.915663,7819.277108
alto k10,2010,44542,Petrol,Dealer,Manual,1,2349.39759,4759.036145
ciaz,2015,45000,Diesel,Dealer,Manual,1,8975.903614,12506.0241
ritz,2012,51439,Diesel,Dealer,Manual,1,3734.939759,7204.819277
ritz,2011,54200,Petrol,Dealer,Manual,1,2831.325301,5891.566265
swift,2014,39000,Diesel,Dealer,Manual,1,5963.855422,9024.096386
ertiga,2014,45000,Diesel,Dealer,Manual,1,7228.915663,11987.95181
dzire,2014,45000,Diesel,Dealer,Manual,1,6626.506024,9710.843373
sx4,2011,49998,CNG,Dealer,Manual,1,3554.216867,9325.301205
dzire,2015,48767,Petrol,Dealer,Manual,1,5602.409639,8674.698795
800,2003,127000,Petrol,Individual,Manual,1,421.686747,2746.987952
alto k10,2016,10079,Petrol,Dealer,Manual,1,3614.457831,4530.120482
sx4,2003,62000,Petrol,Dealer,Manual,1,2710.843373,9614.457831
baleno,2016,24524,Petrol,Dealer,Automatic,1,7048.192771,9481.927711
alto k10,2014,46706,Petrol,Dealer,Manual,1,3072.289157,4795.180723
sx4,2008,58000,Petrol,Dealer,Manual,1,2349.39759,8614.457831
dzire,2014,45780,Diesel,Dealer,Manual,1,6626.506024,9710.843373
omni,2012,50000,Petrol,Dealer,Manual,1,1506.024096,3240.963855
ciaz,2014,15000,Petrol,Dealer,Automatic,1,9036.144578,14506.0241
ritz,2013,64532,Petrol,Dealer,Manual,1,3192.771084,5891.566265
wagon r,2006,65000,Petrol,Dealer,Manual,1,1265.060241,5000
ertiga,2015,25870,Petrol,Dealer,Manual,1,6987.951807,9289.156627
ciaz,2017,37000,Petrol,Dealer,Automatic,1,9337.349398,11192.77108
fortuner,2012,104707,Diesel,Dealer,Automatic,1,17951.80723,36879.51807
fortuner,2015,40000,Diesel,Dealer,Automatic,1,27710.84337,36879.51807
innova,2017,15000,Diesel,Dealer,Automatic,1,21686.74699,23819.27711
fortuner,2013,135000,Diesel,Individual,Automatic,1,19277.10843,36879.51807
innova,2005,90000,Petrol,Individual,Manual,1,3313.253012,12301.20482
corolla altis,2009,70000,Petrol,Dealer,Automatic,1,4337.349398,18120.48193
etios cross,2015,40534,Petrol,Dealer,Manual,1,5421.686747,8759.036145
corolla altis,2010,50000,Petrol,Dealer,Manual,1,5722.891566,22337.3494
etios g,2014,39485,Petrol,Dealer,Manual,2,4939.759036,8192.771084
fortuner,2014,41000,Diesel,Dealer,Automatic,1,24084.33735,43325.3012
corolla altis,2013,40001,Petrol,Dealer,Manual,1,8373.493976,22421.68675
etios cross,2015,40588,Petrol,Dealer,Manual,1,5421.686747,9277.108434
fortuner,2014,78000,Diesel,Dealer,Automatic,1,22590.36145,43325.3012
fortuner,2015,47000,Diesel,Dealer,Automatic,1,28313.25301,43325.3012
fortuner,2017,6000,Diesel,Dealer,Automatic,1,39759.03614,43650.60241
etios liva,2014,45000,Diesel,Dealer,Manual,1,5722.891566,8373.493976
innova,2017,11000,Petrol,Dealer,Automatic,1,23795.18072,27891.56627
fortuner,2010,59000,Diesel,Dealer,Manual,1,11144.57831,24638.55422
corolla altis,2011,88000,Petrol,Dealer,Manual,1,5240.963855,16554.21687
corolla altis,2016,12000,Petrol,Dealer,Manual,1,17168.6747,25192.77108
etios liva,2014,71000,Diesel,Dealer,Manual,1,4759.036145,8144.578313
corolla altis,2011,45000,Diesel,Dealer,Manual,1,5421.686747,15036.14458
corolla altis,2013,56001,Petrol,Dealer,Manual,1,8975.903614,22421.68675
etios liva,2011,43000,Petrol,Dealer,Manual,1,3192.771084,6879.518072
etios cross,2014,83000,Diesel,Dealer,Manual,1,5903.614458,10759.03614
etios g,2015,36000,Petrol,Dealer,Manual,1,4759.036145,8192.771084
corolla altis,2013,72000,Petrol,Dealer,Manual,1,6626.506024,17686.74699
corolla,2004,135154,Petrol,Dealer,Automatic,1,1807.228916,14879.51807
corolla altis,2010,80000,Petrol,Dealer,Automatic,1,6325.301205,27506.0241
fortuner,2012,89000,Diesel,Dealer,Automatic,1,17469.87952,36879.51807
corolla altis,2016,23000,Diesel,Dealer,Manual,1,17746.98795,17939.75904
etios gd,2015,40000,Diesel,Dealer,Manual,1,5722.891566,9457.831325
innova,2017,15000,Diesel,Dealer,Automatic,1,27710.84337,30590.36145
innova,2015,38000,Diesel,Dealer,Manual,1,15060.24096,16216.86747
innova,2005,197176,Diesel,Dealer,Manual,1,4204.819277,16216.86747
camry,2006,142000,Petrol,Individual,Automatic,1,3012.048193,28590.36145
land cruiser,2010,78000,Diesel,Dealer,Manual,1,42168.6747,111566.2651
corolla altis,2012,56000,Petrol,Dealer,Manual,1,7108.433735,16554.21687
etios liva,2013,47000,Petrol,Dealer,Manual,1,4156.626506,7289.156627
etios g,2014,40000,Petrol,Dealer,Manual,1,5722.891566,8144.578313
corolla altis,2009,62000,Petrol,Dealer,Manual,1,4578.313253,22421.68675
innova,2014,58242,Diesel,Dealer,Manual,1,13554.21687,19385.54217
innova,2005,75000,Petrol,Dealer,Manual,1,4228.915663,16506.0241
fortuner,2015,40000,Diesel,Dealer,Automatic,1,27710.84337,36879.51807
corolla altis,2008,89000,Petrol,Dealer,Automatic,1,4819.277108,27445.78313
corolla altis,2012,72000,Petrol,Dealer,Manual,1,7048.192771,22421.68675
innova,2016,29000,Diesel,Dealer,Automatic,1,25000,30590.36145
corolla altis,2017,8700,Petrol,Dealer,Manual,1,20481.92771,22457.83133
corolla altis,2013,45000,Petrol,Dealer,Manual,1,8493.975904,22421.68675
fortuner,2010,50024,Diesel,Dealer,Manual,1,11626.50602,24638.55422
Royal Enfield Thunder 500,2016,3000,Petrol,Individual,Manual,1,2108.433735,2289.156627
UM Renegade Mojave,2017,1400,Petrol,Individual,Manual,1,2048.192771,2192.771084
KTM RC200,2017,4000,Petrol,Individual,Manual,1,1987.951807,2144.578313
Bajaj Dominar 400,2017,1200,Petrol,Individual,Manual,1,1746.987952,1927.710843
Royal Enfield Classic 350,2017,4100,Petrol,Individual,Manual,1,1626.506024,1771.084337
KTM RC390,2015,21700,Petrol,Individual,Manual,1,1626.506024,2855.421687
Hyosung GT250R,2014,16500,Petrol,Individual,Manual,2,1626.506024,4156.626506
Royal Enfield Thunder 350,2013,15000,Petrol,Individual,Manual,1,1506.024096,1807.228916
Royal Enfield Thunder 350,2016,18000,Petrol,Individual,Manual,1,1445.783133,1807.228916
Royal Enfield Classic 350,2017,11000,Petrol,Individual,Manual,1,1445.783133,1771.084337
KTM RC200,2016,6000,Petrol,Individual,Manual,1,1445.783133,2144.578313
Royal Enfield Thunder 350,2016,8700,Petrol,Individual,Manual,1,1385.542169,1807.228916
KTM 390 Duke ,2014,7000,Petrol,Individual,Manual,1,1385.542169,2891.566265
Mahindra Mojo XT300,2016,35000,Petrol,Individual,Manual,1,1385.542169,1686.746988
Royal Enfield Classic 350,2015,17000,Petrol,Individual,Manual,1,1385.542169,1771.084337
Royal Enfield Classic 350,2015,17500,Petrol,Individual,Manual,1,1337.349398,1771.084337
Royal Enfield Classic 350,2013,33000,Petrol,Individual,Manual,1,1325.301205,1771.084337
Royal Enfield Thunder 500,2015,14000,Petrol,Individual,Manual,1,1325.301205,2289.156627
Royal Enfield Classic 350,2015,26000,Petrol,Individual,Manual,1,1325.301205,1771.084337
Royal Enfield Thunder 500,2013,5400,Petrol,Individual,Manual,1,1265.060241,2289.156627
Bajaj Pulsar RS200,2016,5700,Petrol,Individual,Manual,1,1265.060241,1518.072289
Royal Enfield Thunder 350,2011,6900,Petrol,Individual,Manual,1,1265.060241,1807.228916
Royal Enfield Bullet 350,2016,6000,Petrol,Individual,Manual,1,1265.060241,1409.638554
Royal Enfield Classic 350,2013,46500,Petrol,Individual,Manual,1,1204.819277,1771.084337
Royal Enfield Classic 500,2012,11500,Petrol,Individual,Manual,1,1144.578313,2108.433735
Royal Enfield Classic 500,2009,40000,Petrol,Individual,Manual,1,1084.337349,2108.433735
Bajaj Avenger 220,2017,1300,Petrol,Individual,Manual,1,1084.337349,1144.578313
Bajaj Avenger 150,2016,7000,Petrol,Individual,Manual,1,903.6144578,963.8554217
Honda CB Hornet 160R,2017,3000,Petrol,Individual,Manual,1,963.8554217,1048.192771
Yamaha FZ S V 2.0,2017,5000,Petrol,Individual,Manual,1,939.7590361,1012.048193
Honda CB Hornet 160R,2017,11000,Petrol,Individual,Manual,1,903.6144578,1048.192771
Yamaha FZ 16,2015,18000,Petrol,Individual,Manual,1,903.6144578,987.9518072
Bajaj Avenger 220,2017,3500,Petrol,Individual,Manual,1,903.6144578,1144.578313
Bajaj Avenger 220,2016,500,Petrol,Individual,Manual,1,867.4698795,1144.578313
TVS Apache RTR 160,2017,11800,Petrol,Individual,Manual,1,783.1325301,975.9036145
Bajaj Pulsar 150,2015,5000,Petrol,Individual,Manual,1,783.1325301,891.5662651
Honda CBR 150,2014,23500,Petrol,Individual,Manual,1,783.1325301,1445.783133
Hero Extreme,2013,16000,Petrol,Individual,Manual,1,783.1325301,948.1927711
Honda CB Hornet 160R,2016,15000,Petrol,Individual,Manual,1,722.8915663,1048.192771
Bajaj Avenger 220 dtsi,2015,16600,Petrol,Individual,Manual,1,722.8915663,1144.578313
Honda CBR 150,2013,32000,Petrol,Individual,Manual,1,722.8915663,1445.783133
Bajaj Avenger 150 street,2016,20000,Petrol,Individual,Manual,1,722.8915663,963.8554217
Yamaha FZ  v 2.0,2015,29000,Petrol,Individual,Manual,1,722.8915663,1012.048193
Yamaha FZ  v 2.0,2016,25000,Petrol,Individual,Manual,1,722.8915663,1012.048193
Bajaj Pulsar  NS 200,2014,25000,Petrol,Individual,Manual,1,722.8915663,1192.771084
TVS Apache RTR 160,2012,19000,Petrol,Individual,Manual,1,722.8915663,975.9036145
Hero Extreme,2014,15000,Petrol,Individual,Manual,1,662.6506024,948.1927711
Yamaha FZ S V 2.0,2015,58000,Petrol,Individual,Manual,1,662.6506024,1012.048193
Bajaj Pulsar 220 F,2010,45000,Petrol,Individual,Manual,1,626.5060241,1132.53012
Bajaj Pulsar 220 F,2016,24000,Petrol,Individual,Manual,1,614.4578313,1132.53012
TVS Apache RTR 180,2011,6000,Petrol,Individual,Manual,1,602.4096386,995.1807229
Hero Passion X pro,2016,31000,Petrol,Individual,Manual,1,602.4096386,662.6506024
Bajaj Pulsar NS 200,2012,13000,Petrol,Individual,Manual,1,602.4096386,1192.771084
Bajaj Pulsar NS 200,2013,45000,Petrol,Individual,Manual,1,602.4096386,1192.771084
Yamaha Fazer ,2014,8000,Petrol,Individual,Manual,1,602.4096386,1060.240964
Honda Activa 4G,2017,4300,Petrol,Individual,Automatic,1,578.313253,614.4578313
TVS Sport ,2017,15000,Petrol,Individual,Manual,1,578.313253,626.5060241
Yamaha FZ S V 2.0,2015,23000,Petrol,Individual,Manual,1,578.313253,1012.048193
Honda Dream Yuga ,2017,8600,Petrol,Individual,Manual,1,578.313253,650.6024096
Honda Activa 4G,2017,4000,Petrol,Individual,Automatic,1,542.1686747,614.4578313
Bajaj Avenger Street 220,2011,24000,Petrol,Individual,Manual,1,542.1686747,1144.578313
TVS Apache RTR 180,2014,23000,Petrol,Individual,Manual,1,542.1686747,995.1807229
Bajaj Pulsar NS 200,2012,14500,Petrol,Individual,Manual,1,542.1686747,1192.771084
Bajaj Avenger 220 dtsi,2010,27000,Petrol,Individual,Manual,1,542.1686747,1144.578313
Hero Splender iSmart,2016,14000,Petrol,Individual,Manual,1,542.1686747,650.6024096
Activa 3g,2016,500,Petrol,Individual,Automatic,1,542.1686747,650.6024096
Hero Passion Pro,2016,1000,Petrol,Individual,Manual,1,542.1686747,662.6506024
TVS Apache RTR 160,2014,42000,Petrol,Individual,Manual,1,506.0240964,975.9036145
Honda CB Trigger,2013,12000,Petrol,Individual,Manual,1,506.0240964,879.5180723
Hero Splender iSmart,2015,14000,Petrol,Individual,Manual,1,481.9277108,650.6024096
Yamaha FZ S ,2012,5500,Petrol,Individual,Manual,1,481.9277108,1000
Hero Passion Pro,2015,6700,Petrol,Individual,Manual,1,481.9277108,662.6506024
Bajaj Pulsar 135 LS,2014,13700,Petrol,Individual,Manual,1,481.9277108,771.0843373
Activa 4g,2017,1300,Petrol,Individual,Automatic,1,481.9277108,614.4578313
Honda CB Unicorn,2015,38600,Petrol,Individual,Manual,1,457.8313253,867.4698795
Hero Honda CBZ extreme,2011,75000,Petrol,Individual,Manual,1,457.8313253,948.1927711
Honda Karizma,2011,30000,Petrol,Individual,Manual,1,421.686747,1265.060241
Honda Activa 125,2016,24000,Petrol,Individual,Automatic,1,421.686747,686.746988
TVS Jupyter,2014,19000,Petrol,Individual,Automatic,1,421.686747,626.5060241
Honda Karizma,2010,213000,Petrol,Individual,Manual,1,373.4939759,1265.060241
Hero Honda Passion Pro,2012,60000,Petrol,Individual,Manual,1,361.4457831,614.4578313
Hero Splender Plus,2016,50000,Petrol,Individual,Manual,1,361.4457831,578.313253
Honda CB Shine,2013,30000,Petrol,Individual,Manual,1,361.4457831,698.7951807
Bajaj Discover 100,2013,21000,Petrol,Individual,Manual,1,325.3012048,566.2650602
Bajaj Pulsar 150,2008,26000,Petrol,Individual,Manual,2,301.2048193,903.6144578
Suzuki Access 125,2008,1900,Petrol,Individual,Automatic,1,301.2048193,698.7951807
TVS Wego,2010,22000,Petrol,Individual,Automatic,1,301.2048193,626.5060241
Honda CB twister,2013,32000,Petrol,Individual,Manual,1,301.2048193,614.4578313
Hero Glamour,2013,18000,Petrol,Individual,Manual,1,301.2048193,686.746988
Hero Super Splendor,2005,55000,Petrol,Individual,Manual,1,240.9638554,686.746988
Bajaj Pulsar 150,2008,60000,Petrol,Individual,Manual,1,240.9638554,903.6144578
Bajaj Discover 125,2012,25000,Petrol,Individual,Manual,2,240.9638554,686.746988
Hero Hunk,2007,49000,Petrol,Individual,Manual,2,240.9638554,903.6144578
Hero  Ignitor Disc,2013,24000,Petrol,Individual,Manual,2,240.9638554,783.1325301
Hero  CBZ Xtreme,2008,50000,Petrol,Individual,Manual,1,240.9638554,948.1927711
Bajaj  ct 100,2015,35000,Petrol,Individual,Manual,1,216.8674699,385.5421687
Activa 3g,2008,500000,Petrol,Individual,Automatic,1,204.8192771,626.5060241
Honda CB twister,2010,33000,Petrol,Individual,Manual,1,192.7710843,614.4578313
Bajaj Discover 125,2011,35000,Petrol,Individual,Manual,2,180.7228916,686.746988
Honda CB Shine,2007,53000,Petrol,Individual,Manual,1,144.5783133,698.7951807
Bajaj Pulsar 150,2006,92233,Petrol,Individual,Manual,1,120.4819277,903.6144578
i20,2010,58000,Diesel,Dealer,Manual,2,3915.662651,8180.722892
grand i10,2015,28200,Petrol,Dealer,Manual,1,5301.204819,6867.46988
i10,2011,53460,Petrol,Dealer,Manual,1,3554.216867,5542.168675
eon,2015,28282,Petrol,Dealer,Manual,1,3313.253012,5337.349398
grand i10,2016,3493,Petrol,Dealer,Manual,2,6325.301205,6867.46988
xcent,2017,12479,Petrol,Dealer,Manual,1,6927.710843,8590.361446
grand i10,2015,34797,Petrol,Dealer,Automatic,1,6204.819277,6867.46988
i20,2017,3435,Petrol,Dealer,Manual,1,9518.072289,9759.036145
grand i10,2015,21125,Diesel,Dealer,Manual,1,5843.373494,6867.46988
i10,2012,35775,Petrol,Dealer,Manual,1,3734.939759,5542.168675
elantra,2015,43535,Diesel,Dealer,Manual,1,14156.62651,17819.27711
creta,2016,22671,Petrol,Dealer,Manual,1,13554.21687,16385.54217
i20,2011,31604,Petrol,Dealer,Manual,1,3493.975904,8180.722892
grand i10,2017,20114,Petrol,Dealer,Manual,1,6325.301205,6867.46988
verna,2012,36100,Petrol,Dealer,Manual,1,5421.686747,11325.3012
eon,2016,12500,Petrol,Dealer,Manual,1,3493.975904,5337.349398
eon,2016,15000,Petrol,Dealer,Manual,1,3795.180723,5337.349398
verna,2014,45078,Petrol,Dealer,Manual,1,7771.084337,11325.3012
verna,2012,36000,Petrol,Dealer,Manual,1,5421.686747,11325.3012
eon,2017,38488,Petrol,Dealer,Manual,1,4216.86747,5337.349398
i20,2013,32000,Petrol,Dealer,Automatic,1,5421.686747,8180.722892
i20,2014,77632,Diesel,Dealer,Manual,1,7228.915663,9156.626506
verna,2015,61381,Diesel,Dealer,Manual,1,9939.759036,11325.3012
verna,2013,36198,Petrol,Dealer,Automatic,1,6156.626506,11325.3012
i10,2011,22517,Petrol,Dealer,Manual,1,3253.012048,5542.168675
grand i10,2015,24678,Petrol,Dealer,Manual,1,6325.301205,6867.46988
i10,2011,57000,Petrol,Dealer,Manual,1,3072.289157,5337.349398
verna,2012,60000,Diesel,Dealer,Manual,1,5963.855422,11325.3012
i20,2012,52132,Diesel,Dealer,Manual,1,3734.939759,8180.722892
verna,2013,45000,Diesel,Dealer,Manual,1,7409.638554,11325.3012
verna,2017,15001,Petrol,Dealer,Manual,1,11144.57831,11325.3012
elantra,2015,12900,Petrol,Dealer,Automatic,1,13795.18072,17819.27711
grand i10,2013,53000,Diesel,Dealer,Manual,1,4698.795181,6867.46988
grand i10,2015,4492,Petrol,Dealer,Manual,1,6626.506024,6867.46988
verna,2017,15141,Petrol,Dealer,Manual,1,10963.85542,11325.3012
eon,2016,11849,Petrol,Dealer,Manual,1,3734.939759,5337.349398
creta,2015,68000,Diesel,Dealer,Manual,1,13554.21687,16385.54217
verna,2013,60241,Petrol,Dealer,Manual,1,5783.13253,11325.3012
eon,2012,23709,Petrol,Dealer,Manual,1,2409.638554,5337.349398
verna,2012,32322,Diesel,Dealer,Manual,1,6445.783133,11325.3012
xcent,2015,35866,Petrol,Dealer,Manual,2,5722.891566,8590.361446
xcent,2014,34000,Petrol,Dealer,Manual,1,5301.204819,8590.361446
i20,2016,7000,Petrol,Dealer,Manual,1,7530.120482,9156.626506
verna,2013,49000,Diesel,Dealer,Manual,1,7168.674699,11325.3012
verna,2012,71000,Diesel,Dealer,Manual,1,6265.060241,11325.3012
i20,2012,35000,Petrol,Dealer,Manual,1,4518.072289,8180.722892
verna,2015,36000,Petrol,Dealer,Manual,1,7168.674699,11325.3012
i10,2013,30000,Petrol,Dealer,Manual,1,4819.277108,5542.168675
i20,2016,17000,Petrol,Dealer,Manual,1,6325.301205,9156.626506
creta,2016,35934,Diesel,Dealer,Manual,1,15542.16867,16385.54217
city,2013,56701,Petrol,Dealer,Manual,1,6024.096386,11927.71084
brio,2015,31427,Petrol,Dealer,Automatic,1,6506.024096,8216.86747
city,2014,48000,Diesel,Dealer,Manual,1,8674.698795,11927.71084
city,2013,54242,Petrol,Dealer,Manual,1,6325.301205,11927.71084
brio,2012,53675,Petrol,Dealer,Manual,1,3614.457831,6445.783133
city,2016,49562,Petrol,Dealer,Manual,1,12349.39759,16385.54217
city,2015,40324,Petrol,Dealer,Manual,1,10240.96386,16385.54217
city,2015,25000,Petrol,Dealer,Manual,1,10120.48193,16385.54217
amaze,2014,36054,Petrol,Dealer,Manual,1,4698.795181,8433.73494
city,2016,29223,Petrol,Dealer,Manual,1,11024.09639,16385.54217
brio,2016,5600,Petrol,Dealer,Manual,1,6626.506024,7192.771084
amaze,2015,40023,Petrol,Dealer,Manual,1,4819.277108,6987.951807
jazz,2016,16002,Petrol,Dealer,Manual,1,7951.807229,9277.108434
amaze,2015,40026,Petrol,Dealer,Manual,1,4819.277108,8433.73494
jazz,2017,21200,Petrol,Dealer,Manual,1,7831.325301,10481.92771
amaze,2014,35000,Petrol,Dealer,Manual,1,4397.590361,8433.73494
city,2016,19434,Diesel,Dealer,Manual,1,10060.24096,11325.3012
brio,2017,19000,Petrol,Dealer,Manual,1,5783.13253,6987.951807
city,2015,18828,Petrol,Dealer,Manual,1,8072.289157,12048.19277
city,2011,69341,Petrol,Dealer,Manual,1,4939.759036,12048.19277
city,2009,69562,Petrol,Dealer,Manual,1,3614.457831,12048.19277
city,2015,27600,Petrol,Dealer,Manual,1,9036.144578,12048.19277
jazz,2010,61203,Petrol,Dealer,Manual,1,2710.843373,9036.144578
brio,2014,16500,Petrol,Dealer,Manual,1,6385.542169,8192.771084
city,2016,30753,Petrol,Dealer,Automatic,1,13132.53012,16385.54217
city,2015,24800,Petrol,Dealer,Manual,1,10421.68675,16385.54217
city,2015,21780,Petrol,Dealer,Manual,1,11686.74699,16385.54217
jazz,2016,4000,Petrol,Dealer,Manual,1,7228.915663,10120.48193
city,2014,40126,Petrol,Dealer,Manual,1,7530.120482,16385.54217
brio,2015,14465,Petrol,Dealer,Manual,1,6325.301205,7108.433735
city,2006,50456,Petrol,Dealer,Manual,1,2530.120482,9156.626506
city,2014,63000,Diesel,Dealer,Manual,1,9939.759036,16867.46988
city,2016,9010,Petrol,Dealer,Manual,1,10831.3253,14216.86747
brio,2013,9800,Petrol,Dealer,Manual,1,4216.86747,7108.433735
jazz,2016,15059,Petrol,Dealer,Automatic,1,8915.662651,10240.96386
jazz,2016,28569,Petrol,Dealer,Manual,1,6807.228916,9518.072289
amaze,2015,44000,Petrol,Dealer,Automatic,1,6927.710843,9036.144578
city,2015,34000,Petrol,Dealer,Manual,1,10120.48193,16385.54217
city,2016,10980,Petrol,Dealer,Manual,1,12180.72289,16385.54217
amaze,2014,19000,Petrol,Dealer,Manual,1,5421.686747,7710.843373
brio,2015,31427,Petrol,Dealer,Manual,1,6506.024096,7349.39759
jazz,2016,12000,Petrol,Dealer,Manual,1,7710.843373,10120.48193
city,2010,38000,Petrol,Dealer,Manual,1,3915.662651,11927.71084
amaze,2014,33019,Petrol,Dealer,Manual,1,4518.072289,8192.771084
city,2015,60076,Diesel,Dealer,Manual,1,10301.20482,15771.08434
city,2016,33988,Diesel,Dealer,Manual,1,11445.78313,13975.90361
brio,2015,60000,Petrol,Dealer,Manual,1,4819.277108,7108.433735
city,2009,87934,Petrol,Dealer,Manual,1,4036.144578,13253.01205
city,2017,9000,Diesel,Dealer,Manual,1,13855.42169,15060.24096
brio,2016,5464,Petrol,Dealer,Manual,1,6385.542169,7108.433735
